Ticker,Company Name,Net Cash from / (used in) Operating Activities,Net Cash from / (used in) Investing Activities,Net Cash from / (used in) Financing Activities,Cash and Cash Equivalents at End of Period, Cash Cover (#Qs) 
AHL.AX,Adrad Holdings Ltd," 6,756,521 "," (3,862,157)"," 7,559,109 "," 13,931,145 ", 3.8 
AHX.AX,Apiam Animal Health Ltd," 17,405,000 "," (40,570,000)"," 23,492,000 "," 3,172,000 ", 0.7 
AIM.AX,Ai-Media Technologies Ltd," 3,477,003 "," (1,648,578)"," (280,990)"," 16,982,857 ", 2.3 
AIS.AX,Aeris Resources Ltd," 59,299,000 "," (184,129,000)"," 6,529,000 "," 19,533,000 ", (0.2)
AKM.AX,Aspire Mining Ltd," (441,000)"," (396,000)", - ," 6,982,000 ", (2.9)
AKP.AX,Audio Pixels Holdings Ltd," (1,195,000)"," (167,000)"," 2,486,000 "," 2,279,000 ", 0.0 
AL3.AX,AML3D Ltd," (47,000)"," (419,000)"," (122,000)"," 4,179,000 ", 0.8 
ALA.AX,Arovella Therapeutics Ltd," (647,000)"," (85,000)"," 178,000 "," 4,763,000 ", (4.1)
ALC.AX,Alcidion Group Ltd," (3,373,000)"," (12,000)"," 4,846,000 "," 7,914,000 ", 2.2 
ALK.AX,Alkane Resources Ltd," 43,820,000 "," (35,951,000)"," 309,000 ", 0 , 0.7 
AMA.AX,AMA Group Ltd," 9,558,000 "," (4,066,000)"," (42,577,000)"," 34,338,000 ", 0.9 
AMD.AX,Arrow Minerals Ltd," (331,000)"," 345,000 "," 421,000 "," 699,000 ", 2.5 
AMI.AX,Aurelia Metals Ltd," 45,864,000 "," (77,373,000)"," (6,766,000)"," 38,946,000 ", 0.0 
AND.AX,Ansarada Group Ltd," 5,669,000 "," (2,102,000)"," (64,000)"," 24,559,000 ", 0.7 
ANG.AX,Austin Engineering Ltd," 15,781,000 "," (20,930,000)"," 5,356,000 "," 20,167,000 ", 3.7 
AON.AX,Apollo Minerals Ltd," (760,000)"," (43,000)"," 3,175,000 "," 3,641,000 ", 6.5 
APX.AX,Appen Ltd," 9,716,000 "," (12,359,000)"," 36,276,000 "," 55,157,000 ", 0.9 
AQC.AX,Australian Pacific Coal Ltd," (2,340,000)"," (7,682,000)"," 7,308,000 "," 3,317,000 ", 1.2 
AR3.AX,Australian Rare Earths Ltd," (722,000)"," (1,498,000)", 0 ," 10,053,000 ", 12.1 
ARE.AX,Orpheus Uranium NL, 0 , 0 , 0 , 0 , (1.4)
ARL.AX,Ardea Resources Ltd," (2,799,000)"," (143,000)"," 33,000 "," 19,629,000 ", 5.0 
ARN.AX,Aldoro Resources Ltd," (200,000)"," (428,000)"," 45,000 "," 1,106,000 ", 2.6 
ARR.AX,American Rare Earths Ltd," (1,349,000)"," (1,774,000)", - ," 6,296,000 ", 0.9 
ART.AX,Airtasker Ltd," 700,000 "," (2,819,000)"," (220,000)"," 5,665,000 ",
ARU.AX,Arafura Rare Earths Ltd," (26,230,000)"," (928,000)"," 18,477,000 "," 66,940,000 ",
ARV.AX,Artemis Resources Ltd," (527,000)"," (519,000)"," 1,985,000 "," 1,560,000 ",
ARX.AX,Aroa Biosurgery Ltd," (1,747,000)"," (1,106,000)"," (299,000)"," (30,486,000)",
ASG.AX,Autosports Group Ltd," 59,422,000 "," (70,880,000)"," (32,586,000)", 0 ,
ASH.AX,Ashley Services Group Ltd," 22,798,000 "," (14,683,000)"," (7,334,000)"," 2,520,000 ",
ASM.AX,Australian Strategic Materials Ltd," (3,863,000)"," (2,806,000)"," (187,000)"," 45,467,000 ",
ASN.AX,Anson Resources Ltd," (7,737,000)"," (834,000)"," (75,000)"," 22,467,000 ",
ASO.AX,Aston Minerals Ltd," (2,389,000)",," 1,165,000 "," 5,828,000 ",
AT1.AX,Atomo Diagnostics Ltd," (249,000)"," (7,000)"," (80,000)"," 6,510,000 ",
ATA.AX,Atturra Ltd," 10,469,000 "," (21,685,000)"," 20,336,000 "," 44,250,000 ",
ATC.AX,Altech Batteries Ltd," (2,565,000)"," 1,250,000 "," 1,725,000 "," 9,294,000 ",
ATG.AX,Articore Group Ltd," (37,093,000)"," (12,625,000)"," (3,677,000)"," 35,721,000 ",
ATH.AX,Alterity Therapeutics Ltd," (4,862,000)", 0 ," (970,000)"," 12,320,000 ",
ATP.AX,Atlas Pearls Ltd," 8,449,992 "," (2,155,311)"," (1,255,484)"," 7,845,286 ",
ATV.AX,ActivePort Group Ltd," 1,297,000 "," (468,000)"," 93,000 "," 2,576,000 ",
AUC.AX,Ausgold Ltd," (585,000)"," (1,297,000)"," (12,000)"," 2,838,000 ",
AUE.AX,Aurum Resources Ltd," (445,000)"," (574,000)"," 123,000 "," 1,652,000 ",
AUN.AX,Aurumin Ltd," (920,000)"," 3,300,000 "," (1,613,000)"," 1,860,000 ",
AV1.AX,Adveritas Ltd," (2,016,000)",," 2,184,000 "," 3,599,000 ",
AVG.AX,Australian Vintage Ltd," 12,717,000 "," 57,462,000 "," (40,393,000)"," 6,900 ",
AVL.AX,Australian Vanadium Ltd," (2,968,000)"," (4,947,000)", - ," 24,577,000 ",
AVR.AX,Anteris Technologies Ltd," (13,754,000)"," (673,000)"," 39,087,000 "," 30,831,000 ",
AW1.AX,American West Metals Ltd," (3,496,000)",," 601,000 "," 4,061,000 ",
AWJ.AX,Auric Mining Ltd," 4,928,000 "," (737,000)", - ," 4,493,000 ",
AX8.AX,Accelerate Resources Ltd," (449,000)"," (786,000)"," 3,394,000 "," 2,896,000 ",
AXE.AX,Archer Materials Ltd," 266,000 "," (49,000)", - ," 21,562,000 ",
AYUPA.AX,Australian Unity Ltd, 0 , 0 , 0 , 0 ,
AZL.AX,Arizona Lithium Ltd," (3,169,000)"," (262,000)"," 16,354,000 "," 22,593,000 ",
AZY.AX,Antipa Minerals Ltd," (230,000)"," (4,427,000)"," 1,729,000 "," 6,320,000 ",
B4P.AX,Beforepay Group Ltd," 3,268,000 "," (6,000)"," (1,585,000)"," 18,870,000 ",
BAS.AX,Bass Oil Ltd," 205,000 "," (944,000)"," (31,000)"," 943,000 ",
BBN.AX,Baby Bunting Group Ltd," 43,005,000 "," (8,794,000)"," (41,452,000)"," 4,997,000 ",
BBT.AX,Bluebet Holdings Ltd," (7,706,100)"," 531,400 ", 0 ," 9,133,700 ",
BC8.AX,Black Cat Syndicate Ltd," (921,000)"," (3,836,000)"," 8,021,000 "," 8,031,000 ",
BCB.AX,Bowen Coking Coal Ltd," 13,898,000 "," (39,997,000)"," 51,538,000 "," 69,581,000 ",
BCM.AX,Brazilian Critical Minerals Ltd," (1,102,000)"," (14,000)"," 236,000 "," 2,069,000 ",
BCN.AX,Beacon Minerals Ltd," 21,327,759 "," (28,494,698)"," (1,201,844)"," 4,363,088 ",
BDM.AX,Burgundy Diamond Mines Ltd," (16,992,170)"," (1,639,305)"," 183,989,943 "," 188,302,383 ",
BET.AX,Betmakers Technology Group Ltd," (2,577,000)"," 4,109,000 ", - ," 36,486,000 ",
BEZ.AX,Besra Gold Inc," (621,000)"," (2,314,000)"," 30,435,000 "," 33,189,000 ",
BFC.AX,Beston Global Food Company Ltd," (11,721,000)"," (1,413,000)"," 13,124,000 "," 313,000 ",
BGD.AX,Barton Gold Holdings Ltd," (4,612,000)"," (53,000)"," (13,000)"," 4,617,000 ",
BIO.AX,Biome Australia Ltd," 81,000 "," (6,000)"," (35,000)"," 2,024,000 ",
BIS.AX,Bisalloy Steel Group Ltd," 4,285,000 "," (341,000)"," (4,508,000)"," 1,834,000 ",
BIT.AX,Biotron Ltd," (1,898,000)",," 9,000 "," 722,000 ",
BKT.AX,Black Rock Mining Ltd," (1,701,000)"," (1,776,000)"," (1,000)"," 5,229,000 ",
BKY.AX,Berkeley Energia Ltd," (562,000)",, - ," 75,134,000 ",
BLG.AX,BluGlass Ltd," (11,852,122)"," (681,823)"," 11,440,690 "," 4,258,334 ",
BLU.AX,Blue Energy Ltd," (422,000)"," (1,026,000)"," 1,991,000 "," 1,716,000 ",
BM8.AX,Battery Age Minerals Ltd," (646,000)"," (2,805,000)"," 1,000 "," 3,076,000 ",
BMG.AX,BMG Resources Ltd," (212,000)"," (214,000)", - ," 950,000 ",
BML.AX,Boab Metals Ltd," (720,000)", 0 , 0 ," 2,286,000 ",
BNL.AX,Blue Star Helium Ltd," (845,000)"," (1,660,000)"," 6,974,000 "," 6,869,000 ",
BNR.AX,Bulletin Resources Ltd," (339,000)"," 11,000 "," 2,000 "," 8,055,000 ",
BOC.AX,Bougainville Copper Ltd," (4,022,000)"," 3,202,000 "," (228,000)"," 407,000 ",
BOL.AX,Boom Logistics Ltd," 31,056,000 "," 735,000 "," (31,760,000)"," 2,445,000 ",
BOT.AX,Botanix Pharmaceuticals Ltd," (1,613,000)"," (1,142,000)"," 14,474,000 "," 18,311,000 ",
BPH.AX,BPH Energy Ltd," (169,000)"," (785,000)"," 72,000 "," 5,106,000 ",
BRE.AX,Brazilian Rare Earths Ltd," (5,374,000)"," (3,064,000)"," 49,735,000 "," 48,844,000 ",
BRI.AX,Big River Industries Ltd," 45,245,000 "," (10,783,000)"," (20,057,000)"," 31,673,000 ",
BRK.AX,Brookside Energy Ltd," 3,057,000 "," (4,358,000)"," (750,000)"," 26,202,000 ",
BRL.AX,Bathurst Resources Ltd," 423,000 "," 7,079,000 "," 421,000 "," 17,196,000 ",
BRN.AX,BrainChip Holdings Ltd," (3,280,000)"," (10,000)"," (188,000)"," 14,343,000 ",
BRU.AX,Buru Energy Ltd," 1,111,000 "," (617,000)"," 8,487,000 "," 18,395,000 ",
BRX.AX,Belararox Ltd," (465,000)"," (575,000)", - ," 1,409,000 ",
BSE.AX,Base Resources Ltd," 117,367,000 "," (38,190,000)"," (40,704,000)"," 92,889,000 ",
BSN.AX,Basin Energy Ltd," (396,000)"," (372,000)", - ," 3,400,000 ",
BSX.AX,Blackstone Minerals Ltd," (5,170,000)"," (1,386,000)"," 3,808,000 "," 3,297,000 ",
BTH.AX,Bigtincan Holdings Ltd," (11,688,000)"," (21,516,000)"," 27,445,000 ", 0 ,
BTR.AX,Brightstar Resources Ltd," (668,000)"," (1,095,000)"," 4,895,000 "," 4,817,000 ",
BUB.AX,Bubs Australia Ltd," (8,047,000)"," (51,000)"," 13,881,000 "," 27,358,000 ",
BUX.AX,Buxton Resources Ltd," (718,000)"," (45,000)", 0 ," 1,583,000 ",
BUY.AX,Bounty Oil and Gas NL," (121,000)"," 244,000 ", - ," 948,000 ",
BVS.AX,Bravura Solutions Ltd," 2,170,000 "," (15,189,000)"," (2,662,000)"," 32,661,000 ",
BYE.AX,Byron Energy Ltd," (10,180,000)"," (112,000)", - ," 6,565,000 ",
CAA.AX,Capral Ltd," 37,061,000 "," (4,882,000)"," (40,937,000)", 0 ,
CAI.AX,Calidus Resources Ltd," 435,000 "," (830,000)"," (5,705,000)"," 9,039,000 ",
CAJ.AX,Capitol Health Ltd," 37,541,000 "," (62,618,000)"," 30,811,000 "," 19,118,000 ",
CAN.AX,Cann Group Ltd," (914,000)"," (772,000)"," 2,635,000 "," 1,636,000 ",
CAT.AX,Catapult Group International Ltd," 3,734,000 "," (25,279,000)"," 13,188,000 "," 16,225,000 ",
CAV.AX,Carnavale Resources Ltd," (189,000)"," (647,000)", 0 ," 2,608,000 ",
CAY.AX,Canyon Resources Ltd," (1,865,000)"," (749,000)"," 24,392,000 "," 30,819,000 ",
CBE.AX,Cobre Ltd," (544,000)"," (1,027,000)", - ," 1,930,000 ",
CC9.AX,Chariot Corp Ltd," (1,676,000)"," (471,000)"," 8,042,000 "," 7,623,000 ",
CCR.AX,Credit Clear Ltd," 1,332,000 "," (857,000)"," 378,000 "," 13,029,000 ",
CCV.AX,Cash Converters International Ltd," (11,536,000)"," (22,628,000)"," 47,012,000 "," 71,565,000 ",
CCX.AX,City Chic Collective Ltd," 29,765,000 "," (3,875,000)"," (23,747,000)"," 12,414,000 ",
CE1.AX,Calima Energy Ltd," 9,076,000 "," (10,559,000)"," (7,640,000)"," 7,701,000 ",
CEH.AX,Coast Entertainment Holdings Ltd," (14,247,000)"," 471,526,000 "," (501,640,000)"," 46,424,000 ",
CEL.AX,Challenger Gold Ltd," (1,044,000)"," (1,738,000)"," (5,000)"," 4,346,000 ",
CG1.AX,Carbonxt Group Ltd," (306,000)"," (1,166,000)"," (693,000)"," 1,649,000 ",
CGR.AX,CGN Resources Ltd," (1,408,000)"," (18,000)"," 9,434,000 "," 8,682,000 ",
CGS.AX,CogState Ltd," 654,129 "," (1,680,433)"," (894,878)"," 28,675,988 ",
CHL.AX,Camplify Holdings Ltd," 75,000 "," (11,000)"," (73,000)"," 26,645,000 ",
CHM.AX,Chimeric Therapeutics Ltd," (4,375,000)", 0 ," 3,396,000 "," 3,525,000 ",
CHN.AX,Chalice Mining Ltd," (15,586,000)"," 78,000 "," (166,000)"," 111,348,000 ",
CHR.AX,Charger Metals NL," (395,000)"," (1,228,000)"," 3,663,000 "," 4,097,000 ",
CKA.AX,Cokal Ltd," 869,000 "," (841,000)"," (29,000)"," 86,000 ",
CLA.AX,Celsius Resources Ltd," (594,000)"," (660,000)", - ," 2,047,000 ",
CLG.AX,Close The Loop Ltd," 22,678,000 "," (85,975,000)", 0 ," 49,458,000 ",
CLX.AX,CTI Logistics Ltd," 46,786,480 "," (29,017,789)"," (16,895,806)"," 10,282,435 ",
CMP.AX,Compumedics Ltd," 49,000 "," (4,408,000)"," (1,005,000)"," 2,300,000 ",
CNB.AX,Carnaby Resources Ltd," (3,056,000)"," (28,000)"," (13,000)"," 17,889,000 ",
CNQ.AX,Clean TeQ Water Ltd," 404,000 "," (2,000)"," (113,000)"," 2,472,000 ",
COB.AX,Cobalt Blue Holdings Ltd," (1,774,000)"," (2,792,000)"," (72,000)"," 5,267,000 ",
COE.AX,Cooper Energy Ltd," 62,764,000 "," (274,918,000)"," 41,175,000 ", 0 ,
COI.AX,Comet Ridge Ltd," (800,000)"," (1,035,000)"," (5,000)"," 7,768,000 ",
COS.AX,Cosol Ltd," 4,742,439 "," (6,702,302)"," 248,940 "," 4,564,847 ",
CPM.AX,Cooper Metals Ltd," (221,000)"," (1,180,000)"," 850,000 "," 1,819,000 ",
CPV.AX,ClearVue Technologies Ltd," (1,335,000)"," (406,000)"," 294,000 "," 1,254,000 ",
CRD.AX,Conrad Asia Energy Ltd," (1,980,000)"," (1,401,000)", - ," 4,511,000 ",
CRR.AX,Critical Resources Ltd," (312,000)"," (1,257,000)"," (61,000)"," 5,495,000 ",
CSS.AX,Clean Seas Seafood Ltd," 1,510,000 "," (4,838,000)"," (3,297,000)"," 6,357,000 ",
CTM.AX,Centaurus Metals Ltd," (9,278,000)"," (944,000)", - ," 34,674,000 ",
CUF.AX,Cufe Ltd," 4,725,000 "," (2,821,000)"," 688,000 "," 7,517,000 ",
CVN.AX,Carnarvon Energy Ltd," (267,000)"," (2,517,000)"," 243,000 "," 176,010,000 ",
CVV.AX,Caravel Minerals Ltd," (1,938,000)"," (4,000)"," 495,000 "," 10,839,000 ",
CXL.AX,Calix Ltd," (17,256,601)"," (13,031,106)"," 79,771,424 "," 74,466,477 ",
CXM.AX,Centrex Ltd," 2,632,000 "," (455,000)"," (1,419,000)"," 3,040,000 ",
CXO.AX,Core Lithium Ltd," (28,846,000)"," (46,240,000)"," (1,465,000)"," 124,826,000 ",
CXU.AX,Cauldron Energy Ltd," (610,000)"," 187,000 "," 1,480,000 "," 1,330,000 ",
CY5.AX,Cygnus Metals Ltd," (1,290,000)"," (3,055,000)"," (1,000)"," 9,317,000 ",
CYC.AX,Cyclopharm Ltd," (1,395,712)"," (265,501)"," (545,827)"," 18,077,806 ",
CYG.AX,Coventry Group Ltd," 19,088,000 "," (3,003,000)"," (27,097,000)", 0 ,
CYL.AX,Catalyst Metals Ltd," 3,360,000 "," (6,727,000)"," (5,601,000)"," 22,823,000 ",
CYM.AX,Cyprium Metals Ltd," (4,460,000)"," (1,069,000)", - ," 22,591,000 ",
CYP.AX,Cynata Therapeutics Ltd," (883,000)",, - ," 11,167,000 ",
CZR.AX,Czr Resources Ltd," (845,000)"," (6,000)", - ," 465,000 ",
DBF.AX,Duxton Farms Ltd," 4,116,000 "," (8,327,000)"," 4,511,000 "," (5,405,000)",
DCC.AX,Digitalx Ltd," (1,479,000)"," 906,000 "," (661,000)"," 2,059,000 ",
DCG.AX,Decmil Group Ltd," (22,879,000)"," 1,347,000 "," (14,045,000)"," 3,686,000 ",
DEV.AX,DevEx Resources Ltd," (5,554,000)"," (355,000)"," 19,893,000 "," 21,762,000 ",
DGL.AX,DGL Group Ltd," 59,260,000 "," (70,031,000)"," 22,157,000 "," 36,919,000 ",
DLI.AX,Delta Lithium Ltd," (1,605,000)"," (20,242,000)"," 66,712,000 "," 116,311,000 ",
DNA.AX,Donaco International Ltd," 3,038,000 "," (59,000)", - ," 25,122,000 ",
DRE.AX,Dreadnought Resources Ltd," 177,000 "," (5,677,000)"," 5,336,000 "," 2,826,000 ",
DRO.AX,DroneShield Ltd," 21,811,045 "," (774,458)"," (73,945)"," 57,889,056 ",
DSE.AX,Dropsuite Ltd," 616,000 "," (77,000)", - , 0 ,
DSK.AX,Dusk Group Ltd," 25,400,000 "," (3,532,000)"," (27,140,000)"," 16,006,000 ",
DTC.AX,Damstra Holdings Ltd," 1,674,000 "," (1,467,000)"," (811,000)"," 6,237,000 ",
DTZ.AX,Dotz Nano Ltd," (1,551,000)"," (75,000)"," 1,660,000 "," 1,346,000 ",
DUB.AX,Dubber Corp Ltd," (3,774,000)",," 160,000 "," 30,210,000 ",
DUG.AX,DUG Technology Ltd," 4,894,000 "," (188,000)"," (1,639,000)"," 5,481,000 ",
DUR.AX,Duratec Ltd," 34,840,000 "," (22,220,000)"," (4,696,000)"," 66,187,000 ",
DXB.AX,Dimerix Ltd," 7,766,000 "," (6,000)"," 245,000 "," 14,810,000 ",
E25.AX,Element 25 Ltd," (6,908,000)"," (7,895,000)"," 424,000 "," 21,371,000 ",
EBR.AX,EBR Systems Inc," (9,520,000)"," (20,064,000)"," (4,000)"," 14,579,000 ",
ECL.AX,Excelsior Capital Ltd," 10,354,000 "," (2,264,000)"," (3,201,000)", 0 ,
ECS.AX,ECS Botanics Holdings Ltd," 321,000 "," (514,000)"," 261,000 "," 2,578,000 ",
EEG.AX,Empire Energy Group Ltd," 11,685,337 "," (3,493,944)"," (5,911,473)"," 17,309,597 ",
EEL.AX,ENRG Elements Ltd," (450,000)"," 1,500,000 ", - ," 1,341,000 ",
EGG.AX,Enero Group Ltd," 61,480,000 "," (35,747,000)"," (35,747,000)", 0 ,
EGL.AX,Environmental Group Ltd," 5,244,122 "," 4,081,187 "," 6,466,439 "," 9,367,213 ",
EGR.AX,Ecograf Ltd," (1,321,000)"," (2,907,000)", 0 ," 30,467,000 ",
EHL.AX,Emeco Holdings Ltd," 206,388,000 "," (180,875,000)"," (38,995,000)"," 46,673,000 ",
EIQ.AX,EchoIQ Ltd," (1,327,000)",," 12,000 "," 1,767,000 ",
EL8.AX,Elevate Uranium Ltd," (2,165,000)"," (29,000)"," 10,248,000 "," (15,739,000)",
EM2.AX,Eagle Mountain Mining Ltd," (1,044,000)"," (1,000)"," (71,000)"," 525,000 ",
EMD.AX,Emyria Ltd," (1,854,000)"," (973,000)"," 2,649,000 "," 1,966,000 ",
EML.AX,EML Payments Ltd," (2,643,000)"," (877,000)"," (2,172,000)"," 71,362,000 ",
EMV.AX,EMvision Medical Devices Ltd," 651,000 "," (15,000)", - ," 8,451,000 ",
ENL.AX,Enlitic Inc," (4,365,000)",," 12,417,000 "," 11,091,000 ",
ENN.AX,Elanor Investors Group," 17,933,000 "," (61,812,000)"," 41,374,000 "," 25,269,000 ",
ENR.AX,Encounter Resources Ltd," (113,000)"," (2,640,000)"," 797,000 "," 7,458,000 ",
ENV.AX,Enova Mining Ltd," (380,000)", 0 ," 853,000 "," 939,000 ",
EOL.AX,Energy One Ltd," 6,674,000 "," (10,534,000)"," 1,463,000 "," 951,000 ",
EOS.AX,Electro Optic Systems Holdings Ltd," 34,473,000 "," (9,106,000)"," (1,257,000)"," 70,997,000 ",
EQN.AX,Barrick Resources (Australia) Pty Ltd," (408,000)"," (795,000)"," 1,051,000 "," 3,175,000 ",
EQR.AX,EQ Resources Ltd," (1,383,000)"," (2,676,000)"," 1,063,000 "," 740,000 ",
EQX.AX,Equatorial Resources Ltd," (813,000)",, - ," 15,662,000 ",
ETR.AX,Entyr Ltd," 6,317,000 "," (1,949,000)"," (463,000)"," 5,132,000 ",
EUR.AX,European Lithium Ltd," (1,043,000)"," (555,000)"," 1,000 "," 7,965,000 ",
EV1.AX,Evolution Energy Minerals Ltd," (3,737,000)",," 3,239,000 "," 1,476,000 ",
EVO.AX,Embark Early Education Ltd," 5,559,000 "," 5,537,000 "," (2,994,000)"," 24,290,000 ",
EVR.AX,EV Resources Ltd," (525,000)"," (883,000)"," 1,640,000 "," 872,000 ",
EVS.AX,Envirosuite Ltd," 746,000 "," (8,052,000)"," (1,194,000)"," 8,277,000 ",
EXP.AX,Experience Co Ltd," 9,721,000 "," (14,700,000)"," (4,751,000)"," 8,587,000 ",
EXR.AX,Elixir Energy Ltd," (1,104,000)"," (6,791,000)"," 7,872,000 "," 11,225,000 ",
EYE.AX,Nova Eye Medical Ltd," (6,824,000)"," (697,000)"," 6,817,000 "," 7,419,000 ",
FAR.AX,FAR Ltd," (496,000)",," (27,000)"," 2,880,000 ",
FBM.AX,Future Battery Minerals Ltd," (464,000)"," (3,890,000)"," 2,250,000 "," 2,950,000 ",
FBR.AX,FBR Ltd," (5,856,000)"," (3,296,000)"," 5,119,000 "," 6,135,000 ",
FDV.AX,Frontier Digital Ventures Ltd," 599,000 "," (506,000)"," 11,000 "," 15,241,000 ",
FEX.AX,Fenix Resources Ltd," 16,284,208 "," (13,752,437)"," (28,237,409)"," 76,328,189 ",
FFM.AX,Firefly Metals Ltd," (1,485,000)"," (39,173,000)"," 50,915,000 "," 17,055,000 ",
FGR.AX,First Graphene Ltd," (773,000)",," 2,871,000 "," 4,438,000 ",
FHS.AX,Freehill Mining Ltd," (482,000)"," (69,000)"," (115,000)"," 305,000 ",
FL1.AX,First Lithium Ltd," (1,905,000)"," 17,000 ", - ," 3,545,000 ",
FLX.AX,Felix Group Holdings Ltd," (675,000)"," (2,404,000)"," (11,000)"," 2,379,000 ",
FND.AX,Findi Ltd, 0 , 0 , 0 , 0 ,
FRI.AX,Finbar Group Ltd," (113,659,000)"," 12,186,000 "," 86,447,000 ", 0 ,
FWD.AX,Fleetwood Ltd," 5,484,000 "," (6,734,000)"," (7,438,000)"," 46,578,000 ",
G6M.AX,Group 6 Metals Ltd," (7,578,000)"," (528,000)"," 5,653,000 "," 595,000 ",
GAL.AX,Galileo Mining Ltd," (44,000)"," (1,578,000)"," (15,000)"," 10,405,000 ",
GAS.AX,State Gas Ltd," (413,000)"," (303,500)"," 88,000 "," 1,525,000 ",
GBR.AX,Great Boulder Resources Ltd," (268,000)"," (1,298,000)"," 4,207,000 "," 4,951,000 ",
GGE.AX,Grand Gulf Energy Ltd," (570,000)",," 1,510,000 "," 1,527,000 ",
GHY.AX,Gold Hydrogen Ltd," (8,260,000)",," 14,034,000 "," 20,888,000 ",
GL1.AX,Global Lithium Resources Ltd," (17,161,000)"," (132,000)"," (85,000)"," 35,978,000 ",
GLA.AX,Gladiator Resources Ltd," (526,000)"," 60,000 "," 224,000 "," 265,000 ",
GLN.AX,Galan Lithium Ltd," (767,000)"," (15,535,000)"," 966,000 "," 15,865,000 ",
GNG.AX,GR Engineering Services Ltd," 13,729,586 "," 4,254,158 "," (33,395,670)"," 86,022,143 ",
GNP.AX,GenusPlus Group Ltd," 39,151,888 "," (7,312,714)"," (12,837,501)"," 46,737,238 ",
GOW.AX,Gowing Bros. Ltd," 1,476,000 "," 9,161,000 "," (6,956,000)"," 17,394,000 ",
GRE.AX,Greentech Metals Ltd," (446,000)"," (817,000)"," 1,314,000 "," 2,986,000 ",
GRX.AX,GreenX Metals Ltd," (1,164,000)"," (213,000)"," (18,000)"," 9,318,000 ",
